e,t,w,r,c,k
0,1.652111818,0.111433121,0.463416438,A,1
0,10,0.052049074,0.267485405,A,1
0,10,0.127940153,0.503843049,A,2
1,1.897413135,0.207671672,0.643854686,A,4
1,4.579520625,0.161396806,0.572216503,A,3
1,0.29170614,0.158933167,0.567721876,A,3
1,0.844683649,0.206868551,0.642792628,A,4
1,0.170820125,0.102839737,0.440306049,A,1
1,4.806973835,0.256330108,0.698970981,A,5
1,0.482745308,0.164945921,0.578555756,A,3
1,1.087067068,0.219352395,0.658686201,A,4
1,0.05486693,0.249984364,0.692700403,A,5
2,2.411812229,0.18075589,0.604962857,A,3
0,0.69256017,0.116311535,0.47588593,A,2
1,3.623142953,0.263207081,0.705499107,A,5
2,1.722109965,0.074268678,0.351571995,A,1
0,3.653293326,0.132932168,0.515127036,A,2
0,0.408488905,0.14922974,0.54923421,A,3
1,4.743774484,0.154672018,0.559760334,A,3
1,1.080822699,0.248623783,0.691323912,A,5
0,2.236051168,0.174555726,0.594950495,A,3
2,0.62137428,0.194536989,0.625754095,A,4
2,1.557515175,0.160756911,0.571056596,A,3
0,1.636822821,0.149708421,0.550176566,A,3
1,0.436223244,0.218322997,0.657423975,A,4
0,1.511511445,0.261450931,0.703857702,A,5
2,2.078652363,0.063213431,0.311582546,A,1
2,0.864103362,0.207857158,0.644099176,A,4
2,3.643972148,0.192028739,0.622113075,A,4
1,2.070005675,0.139441923,0.529235825,A,2
1,2.549301244,0.241811961,0.684255793,A,5
2,8.103401083,0.141466142,0.533488492,A,2
1,2.046436996,0.147528741,0.545859236,A,3
0,0.474049696,0.232925624,0.674571956,A,4
1,0.959007685,0.328851473,0.756294217,A,5
1,1.498510997,0.184154898,0.61027341,A,4
2,4.264316056,0.139614028,0.529599835,A,2
0,0.035750535,0.102730593,0.440002754,A,1
2,2.023947448,0.14479835,0.540354783,A,2
1,2.532884132,0.113502351,0.468761243,A,1
1,2.664128029,0.149035159,0.548850224,A,3
1,3.400647036,0.193544401,0.624320586,A,4
2,4.231596473,0.117567477,0.479023171,A,2
1,0.098047327,0.476954945,0.824096049,A,5
2,2.284498666,0.175942977,0.59722804,A,3
1,0.931806074,0.259780797,0.702280511,A,5
0,2.470186804,0.066161961,0.322590988,A,1
1,4.590552262,0.222328439,0.662288508,A,4
2,0.102639454,0.097637068,0.425564792,A,1
1,4.043577023,0.238812028,0.681046791,A,5
2,0.159835221,0.193835012,0.624741282,A,4
1,4.020532286,0.140434873,0.53132971,A,2
0,4.279423463,0.280748354,0.720987022,A,5
0,0.666143039,0.124868678,0.496691325,A,2
1,1.548338387,0.131040909,0.510900623,A,2
2,5.563674704,0.110755648,0.461648398,A,1
1,0.403508608,0.126530557,0.500581027,A,2
0,1.465702865,0.241248919,0.683658084,A,5
1,0.518799118,0.196612766,0.628721235,A,4
1,0.32136719,0.247106388,0.68977511,A,5
1,3.219005819,0.14141627,0.533384466,A,2
2,3.564060709,0.192155203,0.622298131,A,4
1,1.685006725,0.182257632,0.607324398,A,4
2,2.012755605,0.093433723,0.413219982,A,1
1,2.604166706,0.336678003,0.761212768,A,5
1,2.003451538,0.174431889,0.594746118,A,3
1,0.991272869,0.224526756,0.664905458,A,4
1,0.03560173,0.24221117,0.684678314,A,5
1,4.505998892,0.161989092,0.573285455,A,3
2,0.770955944,0.146266326,0.543327658,A,2
1,0.05547111,0.236328966,0.678344721,A,5
0,1.70711513,0.108726551,0.456298687,A,1
1,0.23324467,0.363685773,0.776737982,A,5
2,6.109780823,0.141783669,0.534149939,A,2
1,0.552404396,0.32034976,0.750714603,A,5
0,0.364968222,0.302669169,0.738252697,A,5
2,0.878886459,0.170876585,0.588803061,A,3
0,0.514891795,0.207398828,0.643494504,A,4
1,1.622449205,0.109720463,0.458929351,A,1
1,0.175210323,0.188097017,0.616280156,A,4
0,2.597113755,0.250936586,0.693656937,A,5
0,8.873473684,0.171981459,0.590665711,A,3
0,3.012546075,0.137840954,0.525827811,A,2
0,10,0.127159542,0.502040787,A,2
1,1.245829329,0.162940697,0.574993589,A,3
2,1.453601051,0.253514207,0.696218406,A,5
2,0.173471452,0.136205572,0.522305301,A,2
0,10,0.15748831,0.565049229,A,3
0,7.385462215,0.098504209,0.428062509,A,1
0,1.761741866,0.201437753,0.635460941,A,4
2,1.471078484,0.278917458,0.719444143,A,5
0,7.080378906,0.30083793,0.736891014,A,5
1,4.138473208,0.228980391,0.670095614,A,4
2,1.455710821,0.078244596,0.365126397,A,1
1,4.825940907,0.200450449,0.634099442,A,4
0,3.259751969,0.198384987,0.631222006,A,4
1,3.986570415,0.143508629,0.537716801,A,2
0,4.797012322,0.17696484,0.59889179,A,3
2,0.191301138,0.116996135,0.477599652,A,2
0,1.526531014,0.216902423,0.655668217,A,4
0,3.152829494,0.145026266,0.540818413,A,2
0,1.039461835,0.088245474,0.397423107,A,1
0,1.994158332,0.142704346,0.536059245,A,2
0,0.862807161,0.285296574,0.724749545,A,5
0,6.437558439,0.144610328,0.539971732,A,2
0,1.274481579,0.221595865,0.661408179,A,4
1,0.790453749,0.241384123,0.683801804,A,5
2,0.735051882,0.165589985,0.579689296,A,3
0,0.093765459,0.143570522,0.537843959,A,2
0,1.822320516,0.133737253,0.516908471,A,2
2,9.749896722,0.222202909,0.662137955,A,4
2,0.890118587,0.10802604,0.454432714,A,1
2,0.231819907,0.182406847,0.607557719,A,4
1,0.492635081,0.147224044,0.545250314,A,3
2,1.606592941,0.066806444,0.324963233,A,1
2,6.223665336,0.094086549,0.41516343,A,1
2,4.70929387,0.238450803,0.680656316,A,5
0,0.528673595,0.153123334,0.556806484,A,3
1,4.458690607,0.227936838,0.668892688,A,4
0,8.0988497,0.351688227,0.770103595,A,5
0,0.123736281,0.298063858,0.734801449,A,5
1,0.314449755,0.21673224,0.655456792,A,4
0,1.838754849,0.192431521,0.622701916,A,4
1,0.179945091,0.153030295,0.556627988,A,3
1,0.074015352,0.310726156,0.744081784,A,5
0,1.09690282,0.20981977,0.646667918,A,4
2,6.800791537,0.103371005,0.441778784,A,1
2,1.533068861,0.155321671,0.560989769,A,3
1,0.306358839,0.076722219,0.359986099,A,1
0,4.439192419,0.152879762,0.556338937,A,3
0,1.441273331,0.058605246,0.293854495,A,1
1,1.152369703,0.279598919,0.720020328,A,5
1,1.901242301,0.128193146,0.504424935,A,2
0,10,0.139179399,0.5286797,A,2
0,1.06138767,0.154474332,0.559385093,A,3
2,0.7835049,0.211165577,0.648410321,A,4
0,2.158714957,0.216825168,0.655572268,A,4
2,1.931740684,0.207459485,0.643574634,A,4
1,2.339415988,0.131464682,0.511852735,A,2
0,1.481634411,0.095816871,0.420267767,A,1
0,2.077126061,0.141495283,0.53354926,A,2
1,1.268317072,0.184734735,0.611167079,A,4
2,2.792413253,0.118928543,0.482389967,A,2
1,0.075743349,0.160809254,0.571151672,A,3
2,2.315667475,0.103615854,0.442455539,A,1
1,1.82133674,0.164750412,0.578210649,A,3
1,6.15386168,0.174042138,0.59410174,A,3
1,0.458172328,0.155929663,0.562135228,A,3
1,3.64367421,0.154808814,0.560019685,A,3
1,2.387921337,0.334680411,0.759976567,A,5
0,10,0.224256365,0.664585564,A,4
1,2.843719159,0.257837028,0.70042477,A,5
1,1.268082027,0.114259537,0.470696405,A,1
1,1.765183618,0.176530208,0.598185577,A,3
2,2.00724782,0.262351538,0.704701629,A,5
0,0.595326754,0.161603646,0.572590313,A,3
2,7.92728379,0.070528086,0.338428873,A,1
1,2.034952955,0.189747375,0.618747469,A,4
1,1.443281157,0.07715166,0.361442296,A,1
1,0.900740072,0.119496516,0.483784865,A,2
2,2.042818274,0.280719797,0.720963083,A,5
1,4.670612616,0.211454537,0.648782435,A,4
2,0.188791319,0.2558069,0.698463102,A,5
1,4.763616224,0.186867017,0.614423228,A,4
0,9.328378355,0.15817338,0.566319859,A,3
0,10,0.114209008,0.470567608,A,1
1,0.120935231,0.312598863,0.745399935,A,5
2,2.349670378,0.168301921,0.584406542,A,3
1,0.010366336,0.124176497,0.495057092,A,2
1,2.201963588,0.233654731,0.675387038,A,4
1,0.061954056,0.254050143,0.696745936,A,5
2,0.294102249,0.352840879,0.770758504,A,5
0,2.040995057,0.12987291,0.508261036,A,2
2,0.09856611,0.1413739,0.533296055,A,2
2,0.430387562,0.139947376,0.530303585,A,2
1,4.598469225,0.142236663,0.535090951,A,2
0,1.181460273,0.142751149,0.536155968,A,2
1,5.119539595,0.146860668,0.544522381,A,2
1,0.618647031,0.294265801,0.731887085,A,5
2,2.800173023,0.125053289,0.497125778,A,2
1,2.756933685,0.141526684,0.533614726,A,2
2,5.010718834,0.214598719,0.652786292,A,4
1,1.313198746,0.259216665,0.701744172,A,5
0,1.79529591,0.12137816,0.48836414,A,2
2,8.022906161,0.13489825,0.519459043,A,2
1,2.128838746,0.203813124,0.638700221,A,4
0,0.284318062,0.248354452,0.691050063,A,5
2,8.080273354,0.149498961,0.549764611,A,3
1,0.759955816,0.093294196,0.41280335,A,1
1,0.012311482,0.327472372,0.75540625,A,5
2,0.048352894,0.293472256,0.731270222,A,5
1,0.783919946,0.124413018,0.495616457,A,2
0,5.009674123,0.161052154,0.571592419,A,3
2,0.102093564,0.08177469,0.376813726,A,1
1,2.316664733,0.207606501,0.643768713,A,4
1,0.006160976,0.315038231,0.747096803,A,5
0,0.812320039,0.08587073,0.389979184,A,1
1,5.535543848,0.121016618,0.487489237,A,2
0,1.638020757,0.127904579,0.503761141,A,2
1,0.371168088,0.125876683,0.499056302,A,2
0,8.429071158,0.073291236,0.348174728,A,1
2,3.175764396,0.201974349,0.636197169,A,4
2,1.942459662,0.089571396,0.401520397,A,1
1,4.016432535,0.163654291,0.576267008,A,3
1,1.705741303,0.209547232,0.646313189,A,4
1,0.357948916,0.15270029,0.555993913,A,3
0,2.293741284,0.236171594,0.678172045,A,5
1,0.172029108,0.163607334,0.576183408,A,3
0,0.659257765,0.1275733,0.502997356,A,2
0,0.709251426,0.21406914,0.652117659,A,4
1,1.865183198,0.138965011,0.528224758,A,2
1,0.630905496,0.335895384,0.760729987,A,5
0,3.704645075,0.164095963,0.577051981,A,3
1,0.409188511,0.232497919,0.674092067,A,4
1,8.146811015,0.179436331,0.602867627,A,3
1,1.763694001,0.04962704,0.257389135,A,1
0,3.825985929,0.095708825,0.419951013,A,1
0,0.615812158,0.139506944,0.5293734,A,2
2,0.326366355,0.181721763,0.606484514,A,4
2,3.246210786,0.064758569,0.317383364,A,1
1,3.235111073,0.242847563,0.685349701,A,5
2,1.26290237,0.129798726,0.508092619,A,2
0,0.079111941,0.122315573,0.490621698,A,2
0,4.186181328,0.088722245,0.398901223,A,1
0,6.345144506,0.092406543,0.410142313,A,1
1,4.270623326,0.169065804,0.585719202,A,3
1,1.6280646,0.202654598,0.637126728,A,4
1,1.314174565,0.071421725,0.341603964,A,1
0,10,0.110609998,0.46126711,A,1
0,0.491829878,0.204806159,0.640039364,A,4
0,0.804777706,0.137901608,0.52595765,A,2
1,0.45525855,0.393036577,0.791416609,A,5
2,1.903744503,0.27206852,0.713523779,A,5
2,0.579376589,0.209758002,0.646587577,A,4
2,1.299533533,0.165622162,0.579745793,A,3
0,2.454294207,0.184841665,0.611331497,A,4
1,2.991931625,0.124635419,0.496141537,A,2
2,9.331614049,0.212504282,0.650128357,A,4
0,0.813572314,0.298819844,0.735374126,A,5
0,0.304914983,0.254965245,0.697642707,A,5
1,4.759904195,0.119397418,0.483541912,A,2
0,10,0.086505201,0.391981402,A,1
0,1.132761897,0.158205212,0.566378748,A,3
1,2.821093779,0.197178819,0.629523216,A,4
1,0.092112687,0.283766827,0.723495097,A,5
2,0.939026806,0.097544773,0.425297972,A,1
1,3.257404957,0.191236162,0.620949696,A,4
0,3.543180697,0.181481771,0.606107365,A,4
1,0.869234142,0.266490177,0.708521709,A,5
2,2.346439549,0.163463756,0.575927621,A,3
1,5.462112946,0.143285012,0.537256913,A,2
2,4.269379922,0.104483548,0.444843722,A,1
2,3.479600549,0.134395519,0.518357259,A,2
0,1.041289046,0.143008743,0.536687715,A,2
0,0.21794524,0.423255921,0.804569589,A,5
1,0.467674766,0.439821001,0.811066917,A,5
0,4.768456011,0.154636,0.559692004,A,3
2,1.587798877,0.108884567,0.45671824,A,1
2,0.211254363,0.075082034,0.354379204,A,1
1,0.945804061,0.203084862,0.637712519,A,4
1,0.050545172,0.106860671,0.451306537,A,1
1,0.456826128,0.412245485,0.799983502,A,5
2,2.144244507,0.115990495,0.475079266,A,1
0,0.310610553,0.172810886,0.59205463,A,3
1,1.324363689,0.758896915,0.883407118,A,5
0,10,0.106079762,0.449196243,A,1
2,1.576927645,0.186938919,0.614532206,A,4
0,0.741594468,0.106165319,0.449428057,A,1
1,2.686063701,0.189960611,0.619064251,A,4
1,1.019737789,0.116565048,0.476521558,A,2
1,5.730045716,0.17048998,0.588147914,A,3
0,10,0.146790709,0.544382018,A,2
1,1.080712308,0.102972131,0.440673618,A,1
0,0.679592635,0.166047245,0.580490963,A,3
1,0.653542132,0.24576989,0.688398882,A,5
0,0.615884932,0.312730645,0.745492184,A,5
1,3.934183059,0.095456512,0.419210299,A,1
1,1.216477147,0.149591898,0.54994747,A,3
1,0.533478448,0.26283464,0.705152447,A,5
0,1.413150462,0.105854588,0.448585425,A,1
1,0.19746287,0.060120748,0.299756444,A,1
1,4.448121996,0.11368077,0.469218223,A,1
0,0.148214279,0.112264702,0.465574391,A,1
2,7.388904215,0.168468825,0.584693947,A,3
2,4.71295299,0.140648035,0.53177725,A,2
1,0.213439936,0.181336375,0.605878573,A,3
0,2.647720808,0.139603508,0.529577596,A,2
0,5.905118817,0.191982196,0.622044929,A,4
0,5.217630868,0.142786851,0.536229726,A,2
1,1.541755896,0.266079692,0.708147031,A,5
1,2.101904802,0.123078735,0.492448048,A,2
2,7.578976506,0.185679475,0.612615603,A,4
1,1.589703967,0.116026133,0.475168907,A,2
1,1.196210445,0.179640543,0.603193124,A,3
1,0.246353471,0.162172926,0.573616331,A,3
0,1.608852297,0.084263351,0.384862526,A,1
1,0.169305329,0.156032553,0.562328583,A,3
1,0.355573475,0.265029395,0.707184161,A,5
2,7.67923858,0.217090702,0.655901851,A,4
1,1.490891566,0.175046969,0.595759502,A,3
0,2.335798019,0.102599053,0.439636888,A,1
0,1.508738338,0.263867409,0.706111825,A,5
1,0.074199927,0.170619505,0.588367606,A,3
1,6.701712077,0.137971312,0.526106792,A,2
2,3.090562774,0.318800834,0.74967033,A,5
0,2.288598171,0.121500497,0.488659655,A,2
2,4.168772823,0.186624703,0.614055573,A,4
1,1.081280087,0.27601363,0.716963042,A,5
0,0.795203676,0.21032299,0.647321233,A,4
0,10,0.146195735,0.543185418,A,2
2,0.327653396,0.139824496,0.530044364,A,2
0,3.459089194,0.190529967,0.619907851,A,4
2,1.801722591,0.202988175,0.637581027,A,4
0,7.064532565,0.166533791,0.581341159,A,3
2,0.023084646,0.280096691,0.720439756,A,5
2,1.114829401,0.161002916,0.571503138,A,3
2,1.316233794,0.124915417,0.496801374,A,2
2,2.476902055,0.20493354,0.640210505,A,4
2,0.532094042,0.068514291,0.331191571,A,1
0,0.721423052,0.193358268,0.624050702,A,4
1,0.439339624,0.201651238,0.635754165,A,4
1,3.06771437,0.15107938,0.552857694,A,3
2,8.613889394,0.105730987,0.448249697,A,1
1,0.124860023,0.141140724,0.532809029,A,2
1,3.08429141,0.307257886,0.741604395,A,5
0,1.758569023,0.122774518,0.491721256,A,2
2,2.127369856,0.065044421,0.318448774,A,1
1,1.943359972,0.228755433,0.669836976,A,4
0,2.227622485,0.135264351,0.520258844,A,2
1,0.202754862,0.13474723,0.519128493,A,2
2,3.968875312,0.101657535,0.437007451,A,1
1,1.01461759,0.163814031,0.576551191,A,3
1,0.042421296,0.218820334,0.658034849,A,4
0,2.560237023,0.130681422,0.510090622,A,2
0,0.608445639,0.129679251,0.507821188,A,2
1,0.468332821,0.256316079,0.698957384,A,5
1,0.064619214,0.149717683,0.550194768,A,3
1,1.23455884,0.155057279,0.560490106,A,3
0,2.992895209,0.128694835,0.50557562,A,2
1,1.533900681,0.236968953,0.679045188,A,5
1,1.637713864,0.111060803,0.462445894,A,1
1,3.311923396,0.23216665,0.673719485,A,4
0,1.125730071,0.228157503,0.669147721,A,4
1,0.120622457,0.137100592,0.524238315,A,2
2,1.0882361,0.232089577,0.673632688,A,4
1,2.907236089,0.245295406,0.68790755,A,5
2,5.232191412,0.208096808,0.64441462,A,4
1,1.717947824,0.371553215,0.780878822,A,5
2,5.087305354,0.075400507,0.355473521,A,1
2,6.651554792,0.103729537,0.442769328,A,1
1,0.095805553,0.095311225,0.418783133,A,1
2,0.045860396,0.176766076,0.59856909,A,3
1,0.895760861,0.311564666,0.744673664,A,5
1,2.190497666,0.323406763,0.752750202,A,5
2,6.121812779,0.200953584,0.634794387,A,4
2,5.739349397,0.234915197,0.676787314,A,5
0,0.23841616,0.155992094,0.562252569,A,3
1,0.812944361,0.199406207,0.632649643,A,4
1,2.288425586,0.192144841,0.622282974,A,4
2,4.896370554,0.12191684,0.489663355,A,2
2,0.245687384,0.147000694,0.544803114,A,2
1,0.333539768,0.156619418,0.563428752,A,3
1,2.058461103,0.288672725,0.727479304,A,5
2,4.449926489,0.109175841,0.457490299,A,1
2,3.332789466,0.070953251,0.339942258,A,1
